"","P01375"
"ENSG00000000003",11.6505465012521
"ENSG00000000005",6.6784468168579
"ENSG00000000419",13.3748535286863
"ENSG00000000457",11.3297300245327
"ENSG00000000460",9.5884366511253
"ENSG00000000938",11.7970530410152
"ENSG00000000971",14.2183560545321
"ENSG00000001036",13.6065114355708
"ENSG00000001084",12.7459245493294
"ENSG00000001167",10.3717089329259
"ENSG00000001460",10.1036288735423
"ENSG00000001461",12.9159266528234
"ENSG00000001497",12.2701802755565
"ENSG00000001561",12.9403900628962
"ENSG00000001617",12.3490459623313
"ENSG00000001626",3.30921300719218
"ENSG00000001629",11.9349218502566
"ENSG00000001631",11.1567924068593
"ENSG00000002016",10.4212180327053
"ENSG00000002330",13.8480485977229
"ENSG00000002549",14.316006582494
"ENSG00000002587",9.3167075437391
"ENSG00000002726",7.50561021999568
"ENSG00000002822",11.2730724149298
"ENSG00000002834",13.9503616046034
"ENSG00000002919",12.7051041128508
"ENSG00000002933",12.0337268603121
"ENSG00000003056",13.0354311665244
"ENSG00000003096",10.4757945655601
"ENSG00000003137",8.92392285130738
"ENSG00000003147",13.3292669543824
"ENSG00000003249",10.7438412348289
"ENSG00000003393",13.0987466521625
"ENSG00000003400",11.5523869906651
"ENSG00000003402",15.9223118014014
"ENSG00000003436",13.6597839194218
"ENSG00000003509",12.5563493525102
"ENSG00000003756",14.4144667868931
"ENSG00000003987",1.72425050647102
"ENSG00000003989",13.0009565263635
"ENSG00000004059",14.1006472575539
"ENSG00000004139",10.7822422292302
"ENSG00000004142",15.4165390764784
"ENSG00000004399",14.0162844919706
"ENSG00000004455",14.7124026041616
"ENSG00000004468",10.2978976939643
"ENSG00000004478",14.0853718412058
"ENSG00000004487",13.2443780567959
"ENSG00000004534",14.2976610119786
"ENSG00000004660",11.1816313855436
"ENSG00000004700",12.9986286597174
"ENSG00000004766",11.5713078525624
"ENSG00000004776",17.5607200739977
"ENSG00000004777",10.0506799935933
"ENSG00000004779",15.8724887382827
"ENSG00000004799",16.1399262641441
"ENSG00000004809",7.8739976259757
"ENSG00000004838",6.47913800863449
"ENSG00000004864",11.5460244884416
"ENSG00000004866",12.4496167643667
"ENSG00000004897",13.4457769704785
"ENSG00000004961",13.5400340505992
"ENSG00000004975",11.9029153574775
"ENSG00000005007",12.9739565634407
"ENSG00000005020",11.2653471218205
"ENSG00000005022",14.8358752535083
"ENSG00000005059",11.391362048546
"ENSG00000005075",13.9193150701918
"ENSG00000005100",11.1898169112804
"ENSG00000005102",11.731277773365
"ENSG00000005108",9.15887873410775
"ENSG00000005156",10.965041838633
"ENSG00000005175",11.9300437558682
"ENSG00000005187",11.7086689652722
"ENSG00000005189",11.0257467014536
"ENSG00000005194",13.9352261841974
"ENSG00000005206",12.2643785450531
"ENSG00000005238",13.310621201585
"ENSG00000005243",13.8557859751474
"ENSG00000005249",12.8295042861719
"ENSG00000005302",12.5064297003022
"ENSG00000005339",12.9632522642366
"ENSG00000005379",11.7916848672275
"ENSG00000005381",7.00965272533327
