"","P01605"
"ENSG00000000003",11.6281584797777
"ENSG00000000005",11.0720188142223
"ENSG00000000419",13.5166742323826
"ENSG00000000457",11.791117987595
"ENSG00000000460",9.40216741591461
"ENSG00000000938",10.3137584416928
"ENSG00000000971",14.4075171473572
"ENSG00000001036",13.2415914661596
"ENSG00000001084",13.3977468104484
"ENSG00000001167",12.1804054053555
"ENSG00000001460",9.93578303663555
"ENSG00000001461",12.8816367877885
"ENSG00000001497",12.3651240739439
"ENSG00000001561",13.5557460200993
"ENSG00000001617",10.5415040975235
"ENSG00000001626",3.82725857985738
"ENSG00000001629",13.4812978369018
"ENSG00000001631",13.2901016331438
"ENSG00000002016",10.9938401382253
"ENSG00000002330",11.1461779248724
"ENSG00000002549",14.4119079617404
"ENSG00000002587",8.308385269594
"ENSG00000002726",5.94273579727732
"ENSG00000002822",9.81972490717197
"ENSG00000002834",13.5432205701125
"ENSG00000002919",11.5529088607958
"ENSG00000002933",11.08464642255
"ENSG00000003056",14.1667374714754
"ENSG00000003096",12.3625339564782
"ENSG00000003137",8.90050756188802
"ENSG00000003147",13.4836834431352
"ENSG00000003249",8.26466389216468
"ENSG00000003393",14.1711845185339
"ENSG00000003400",11.9200157207772
"ENSG00000003402",16.4597237223933
"ENSG00000003436",12.6527474306402
"ENSG00000003509",13.1424081421137
"ENSG00000003756",14.9627541175295
"ENSG00000003987",5.70172769777352
"ENSG00000003989",13.5096680104015
"ENSG00000004059",12.450530437476
"ENSG00000004139",11.03995760499
"ENSG00000004142",15.0820903693388
"ENSG00000004399",13.4128471144529
"ENSG00000004455",14.1910283189558
"ENSG00000004468",10.6389008603181
"ENSG00000004478",13.6080717144625
"ENSG00000004487",13.1211133637505
"ENSG00000004534",14.2587561841154
"ENSG00000004660",10.2921446285868
"ENSG00000004700",13.851936553573
"ENSG00000004766",12.7007026923728
"ENSG00000004776",16.9386659798955
"ENSG00000004777",9.66014859402212
"ENSG00000004779",15.5465047785819
"ENSG00000004799",16.9144451433074
"ENSG00000004809",5.70172769777352
"ENSG00000004838",5.70172769777352
"ENSG00000004864",11.4197156171255
"ENSG00000004866",12.5102531635391
"ENSG00000004897",14.0636714715088
"ENSG00000004961",13.7915994476498
"ENSG00000004975",11.1641370162107
"ENSG00000005007",12.5676015342259
"ENSG00000005020",11.5067386793628
"ENSG00000005022",14.5543281378811
"ENSG00000005059",10.3664173909654
"ENSG00000005075",11.923534490914
"ENSG00000005100",11.7678168882313
"ENSG00000005102",12.6335396685637
"ENSG00000005108",10.213839633087
"ENSG00000005156",11.724095510802
"ENSG00000005175",12.5403586468552
"ENSG00000005187",11.5300084586857
"ENSG00000005189",10.1188130257012
"ENSG00000005194",13.4547924643302
"ENSG00000005206",10.9461996525809
"ENSG00000005238",12.4985047676636
"ENSG00000005243",12.4234483360018
"ENSG00000005249",13.8946929406139
"ENSG00000005302",12.3043422168567
"ENSG00000005339",12.9710669286789
"ENSG00000005379",11.6955667131468
"ENSG00000005381",5.41222108057854
"ENSG00000005421",4.56422417402359
"ENSG00000005436",11.76389651886
"ENSG00000005448",8.26466389216468
