"","C01910"
"ENSG00000000003",11.4288752335166
"ENSG00000000005",6.53469568965761
"ENSG00000000419",13.0803714854934
"ENSG00000000457",11.1663514258268
"ENSG00000000460",9.36358377326485
"ENSG00000000938",12.1053503536949
"ENSG00000000971",15.2254288859832
"ENSG00000001036",13.1188670222532
"ENSG00000001084",12.2881763706068
"ENSG00000001167",11.1353911166434
"ENSG00000001460",10.2467701082821
"ENSG00000001461",12.2100956616332
"ENSG00000001497",12.667229241303
"ENSG00000001561",10.948546273986
"ENSG00000001617",11.4288752335166
"ENSG00000001626",3.87173067693518
"ENSG00000001629",11.4339731011563
"ENSG00000001631",12.1021514720276
"ENSG00000002016",10.5675389463446
"ENSG00000002330",12.9005576406866
"ENSG00000002549",14.0005842564485
"ENSG00000002587",8.94497965896582
"ENSG00000002726",7.33116229557247
"ENSG00000002822",11.2726101132174
"ENSG00000002834",14.0856449443473
"ENSG00000002919",11.6377073577605
"ENSG00000002933",11.895946914356
"ENSG00000003056",13.5113728577525
"ENSG00000003096",11.6109487228328
"ENSG00000003137",7.7786212725437
"ENSG00000003147",13.479677395326
"ENSG00000003249",9.20563141348862
"ENSG00000003393",13.0341220056921
"ENSG00000003400",11.5744805557635
"ENSG00000003402",15.9792747089112
"ENSG00000003436",12.3379771171288
"ENSG00000003509",12.716174917728
"ENSG00000003756",14.7678107511478
"ENSG00000003987",4.60869627110138
"ENSG00000003989",12.3913669297784
"ENSG00000004059",13.705147895579
"ENSG00000004139",11.5973809578736
"ENSG00000004142",15.3034023830508
"ENSG00000004399",14.3417115927873
"ENSG00000004455",14.4855201414078
"ENSG00000004468",10.4913393204632
"ENSG00000004478",13.5341023542428
"ENSG00000004487",13.1793109928626
"ENSG00000004534",14.8966394633928
"ENSG00000004660",11.0844297020678
"ENSG00000004700",12.5358816289278
"ENSG00000004766",11.9715167966356
"ENSG00000004776",16.8478770862332
"ENSG00000004777",10.8829579323584
"ENSG00000004779",15.595249420858
"ENSG00000004799",17.1680255578195
"ENSG00000004809",6.19365877182254
"ENSG00000004838",7.2409644866009
"ENSG00000004864",11.4441151115769
"ENSG00000004866",12.5263667054631
"ENSG00000004897",12.9079042894887
"ENSG00000004961",12.9706400448366
"ENSG00000004975",11.9609604443597
"ENSG00000005007",13.3775422308548
"ENSG00000005020",10.6661465432853
"ENSG00000005022",14.7853681049843
"ENSG00000005059",10.867968758139
"ENSG00000005075",13.3735678618375
"ENSG00000005100",11.2496641815513
"ENSG00000005102",12.4778273907457
"ENSG00000005108",8.69615911235172
"ENSG00000005156",11.49865647076
"ENSG00000005175",11.7725974849159
"ENSG00000005187",10.163285122779
"ENSG00000005189",10.0615552358152
"ENSG00000005194",13.1838573045268
"ENSG00000005206",12.573325937822
"ENSG00000005238",12.6321734229318
"ENSG00000005243",12.9458721396877
"ENSG00000005249",11.2026475550498
"ENSG00000005302",11.9574244253325
"ENSG00000005339",12.7286748807563
"ENSG00000005379",12.2711866350152
"ENSG00000005381",7.14474917134159
"ENSG00000005421",4.60869627110138
"ENSG00000005436",11.6465177365364
"ENSG00000005448",9.67047246868807
"ENSG00000005469",11.1101354162603
"ENSG00000005471",10.5203878529737
"ENSG00000005483",12.2965967935821
"ENSG00000005486",12.7390094166448
"ENSG00000005513",10.3366167256646
"ENSG00000005700",13.1868802391915
"ENSG00000005801",11.569856529238
"ENSG00000005810",13.1517280913566
"ENSG00000005812",12.2654786353204
"ENSG00000005844",10.4913393204632
"ENSG00000005882",14.8164427379787
"ENSG00000005884",11.9958519887644
"ENSG00000005889",11.6019177384703
"ENSG00000005893",13.1793109928626
"ENSG00000005955",13.4919505024427
"ENSG00000005961",7.33116229557247
"ENSG00000005981",10.1385172176301
