"","P01412"
"ENSG00000000003",11.6432746847298
"ENSG00000000005",4.74845692142181
"ENSG00000000419",13.5654405446772
"ENSG00000000457",12.0320083445961
"ENSG00000000460",9.39231311119654
"ENSG00000000938",10.2013158861356
"ENSG00000000971",14.4719472235652
"ENSG00000001036",13.1295672155209
"ENSG00000001084",13.6833272126138
"ENSG00000001167",12.0757850040518
"ENSG00000001460",9.79285104078027
"ENSG00000001461",13.460639972631
"ENSG00000001497",12.2735861726258
"ENSG00000001561",14.577228115279
"ENSG00000001617",10.476377375985
"ENSG00000001626",5.88596044517175
"ENSG00000001629",13.736573506182
"ENSG00000001631",13.4030929499498
"ENSG00000002016",11.0667737627568
"ENSG00000002330",10.4321533757283
"ENSG00000002549",13.9787175860916
"ENSG00000002587",8.9963844348654
"ENSG00000002726",7.55581184347942
"ENSG00000002822",8.96568763764248
"ENSG00000002834",13.4398514999599
"ENSG00000002919",11.6768272444408
"ENSG00000002933",11.5113372143388
"ENSG00000003056",14.3405401550757
"ENSG00000003096",12.1356126390848
"ENSG00000003137",9.39231311119654
"ENSG00000003147",13.4551256036016
"ENSG00000003249",8.69331536722935
"ENSG00000003393",14.6265078341504
"ENSG00000003400",11.7049782847549
"ENSG00000003402",16.8969970570479
"ENSG00000003436",13.5756408172413
"ENSG00000003509",13.0980698932463
"ENSG00000003756",14.7881985060272
"ENSG00000003987",6.12696854467554
"ENSG00000003989",14.0985120986263
"ENSG00000004059",12.3409139586899
"ENSG00000004139",10.4979911890911
"ENSG00000004142",14.8142769272457
"ENSG00000004399",13.2774969775169
"ENSG00000004455",14.419821068023
"ENSG00000004468",12.0865247189644
"ENSG00000004478",13.2217567925631
"ENSG00000004487",13.2298527455759
"ENSG00000004534",15.0871933039957
"ENSG00000004660",9.34539206380905
"ENSG00000004700",14.3745309575121
"ENSG00000004766",13.1822509801767
"ENSG00000004776",14.1726232102399
"ENSG00000004777",7.47092294589291
"ENSG00000004779",15.2568459563447
"ENSG00000004799",19.6989490293805
"ENSG00000004809",4.74845692142181
"ENSG00000004838",5.23388374859206
"ENSG00000004864",12.1077672383123
"ENSG00000004866",13.3505990121198
"ENSG00000004897",14.4041665169403
"ENSG00000004961",13.7422444845567
"ENSG00000004975",10.8653206791127
"ENSG00000005007",12.0829536898122
"ENSG00000005020",11.521925849327
"ENSG00000005022",14.1565743294137
"ENSG00000005059",9.91034460379871
"ENSG00000005075",12.1763982539313
"ENSG00000005100",11.6673201586964
"ENSG00000005102",11.211163672092
"ENSG00000005108",10.4095224012288
"ENSG00000005156",11.7142412060839
"ENSG00000005175",12.7630353863447
"ENSG00000005187",11.5166412461987
"ENSG00000005189",10.3394181627644
"ENSG00000005194",13.4824890609867
"ENSG00000005206",10.6212856809567
"ENSG00000005238",12.1147791356676
"ENSG00000005243",11.9944849019499
"ENSG00000005249",13.7658221267145
"ENSG00000005302",12.367576432875
"ENSG00000005339",13.2298527455759
"ENSG00000005379",11.2241903523882
"ENSG00000005381",5.23388374859206
"ENSG00000005421",2.42652882653445
"ENSG00000005436",12.8134690718588
"ENSG00000005448",7.91838192286413
"ENSG00000005469",11.8673979941453
"ENSG00000005471",11.2688791699483
"ENSG00000005483",14.0222525206361
"ENSG00000005486",11.1914004172705
"ENSG00000005513",6.12696854467554
"ENSG00000005700",14.8790274842272
"ENSG00000005801",12.1321612138959
"ENSG00000005810",14.5721426020478
"ENSG00000005812",14.2526800413347
"ENSG00000005844",8.35726616409734
"ENSG00000005882",14.4261765630628
"ENSG00000005884",11.171362664034
"ENSG00000005889",13.899727210212
"ENSG00000005893",14.6824425758722
"ENSG00000005955",13.8459623772398
"ENSG00000005961",6.67445633997804
"ENSG00000005981",12.1424908167896
"ENSG00000006007",14.9837531759889
"ENSG00000006015",9.34539206380905
"ENSG00000006016",9.22094469288456
"ENSG00000006025",9.97342328642209
"ENSG00000006042",10.5086778678883
"ENSG00000006047",7.98111767821209
"ENSG00000006062",10.8231336077163
"ENSG00000006071",9.19471315131138
"ENSG00000006074",5.59645382797676
"ENSG00000006075",4.74845692142181
"ENSG00000006114",13.09629971506
"ENSG00000006118",9.24670778894964
"ENSG00000006125",15.2481035274714
"ENSG00000006128",7.78408083115254
"ENSG00000006194",11.8548889992387
"ENSG00000006210",11.5939469723662
"ENSG00000006282",12.5876607095188
"ENSG00000006283",5.59645382797676
