"","P01155"
"ENSG00000000003",11.3225457564767
"ENSG00000000005",5.43990270711481
"ENSG00000000419",12.3964240704479
"ENSG00000000457",11.5316025412516
"ENSG00000000460",9.91239047857756
"ENSG00000000938",11.2626328550593
"ENSG00000000971",15.609076109144
"ENSG00000001036",13.0938225802342
"ENSG00000001084",13.3065634579348
"ENSG00000001167",12.2186369512327
"ENSG00000001460",9.93815357464264
"ENSG00000001461",13.2120522978994
"ENSG00000001497",12.4010629652515
"ENSG00000001561",13.564024018944
"ENSG00000001617",12.143114174506
"ENSG00000001626",5.43990270711481
"ENSG00000001629",13.4875719585061
"ENSG00000001631",12.9556025453989
"ENSG00000002016",10.6336744505115
"ENSG00000002330",11.4973529792987
"ENSG00000002549",13.4544811720377
"ENSG00000002587",10.036837849502
"ENSG00000002726",7.02486520783597
"ENSG00000002822",10.1732570477286
"ENSG00000002834",13.9860254659726
"ENSG00000002919",11.8009691959091
"ENSG00000002933",12.2238831207986
"ENSG00000003056",13.7895156789393
"ENSG00000003096",11.0308639484574
"ENSG00000003137",10.5358271271134
"ENSG00000003147",12.3682730301338
"ENSG00000003249",8.4033768310897
"ENSG00000003393",13.9261343850958
"ENSG00000003400",11.6610064324827
"ENSG00000003402",16.8245785477844
"ENSG00000003436",13.4251754213683
"ENSG00000003509",12.19211607498
"ENSG00000003756",14.8556444754049
"ENSG00000003987",6.81841433036854
"ENSG00000003989",13.8803566509378
"ENSG00000004059",12.6667965206862
"ENSG00000004139",11.2317167782766
"ENSG00000004142",14.6012865672268
"ENSG00000004399",14.3280370954677
"ENSG00000004455",13.7225278413065
"ENSG00000004468",11.5814989854986
"ENSG00000004478",13.4919272675976
"ENSG00000004487",13.1555215661896
"ENSG00000004534",14.7577675055068
"ENSG00000004660",10.0837588968895
"ENSG00000004700",13.343182049171
"ENSG00000004766",12.3635273184831
"ENSG00000004776",16.1577504614611
"ENSG00000004777",9.93815357464264
"ENSG00000004779",14.134086450448
"ENSG00000004799",19.3890181062168
"ENSG00000004809",3.11797461222745
"ENSG00000004838",6.81841433036854
"ENSG00000004864",11.7363601144861
"ENSG00000004866",12.7886308613459
