"","C00192"
"ENSG00000000003",11.8153886727445
"ENSG00000000005",8.00147106291442
"ENSG00000000419",13.4671677120814
"ENSG00000000457",11.4664729395947
"ENSG00000000460",9.7777990893514
"ENSG00000000938",12.3761406198738
"ENSG00000000971",14.4619487444671
"ENSG00000001036",14.1870846000047
"ENSG00000001084",12.9870102498189
"ENSG00000001167",10.808825984972
"ENSG00000001460",9.89809332306912
"ENSG00000001461",12.5619258613985
"ENSG00000001497",12.3218635588906
"ENSG00000001561",12.9437359886248
"ENSG00000001617",11.2766049463228
"ENSG00000001626",4.03184471195794
"ENSG00000001629",12.3462391341599
"ENSG00000001631",12.0186348547403
"ENSG00000002016",10.3110683558911
"ENSG00000002330",12.3126154820885
"ENSG00000002549",14.2327433169964
"ENSG00000002587",9.84776164751897
"ENSG00000002726",4.03184471195794
"ENSG00000002822",10.885674063815
"ENSG00000002834",13.9492167914348
"ENSG00000002919",11.9957041196955
"ENSG00000002933",12.615554329369
"ENSG00000003056",13.4291628157951
"ENSG00000003096",10.7183452391412
"ENSG00000003137",9.83058650371084
"ENSG00000003147",13.7001387910179
"ENSG00000003249",10.860510140261
"ENSG00000003393",13.195913593277
"ENSG00000003400",11.3981669262038
"ENSG00000003402",16.1034188030754
"ENSG00000003436",13.8071806378548
"ENSG00000003509",12.7721876663265
"ENSG00000003756",14.3352449524074
"ENSG00000003987",4.76881030612415
"ENSG00000003989",12.9175410852973
"ENSG00000004059",13.3195570915074
"ENSG00000004139",10.2347847706282
"ENSG00000004142",15.4424727236031
"ENSG00000004399",13.5638758887838
"ENSG00000004455",14.8303165130596
"ENSG00000004468",11.1438497374711
"ENSG00000004478",13.8038843035018
"ENSG00000004487",13.2598616824883
"ENSG00000004534",14.4415892064949
"ENSG00000004660",9.54491429419731
"ENSG00000004700",13.1516504505994
"ENSG00000004766",12.0523617292985
"ENSG00000004776",17.8873296662398
"ENSG00000004777",8.71366875193169
"ENSG00000004779",16.1638088206258
"ENSG00000004799",19.0307436028992
"ENSG00000004809",6.83919963401555
"ENSG00000004838",4.76881030612415
"ENSG00000004864",11.6193097198823
"ENSG00000004866",13.3056403111722
"ENSG00000004897",13.6249245401016
"ENSG00000004961",13.709564353599
"ENSG00000004975",10.989914031492
"ENSG00000005007",12.281353261221
"ENSG00000005020",11.9684826509605
"ENSG00000005022",14.7797579423895
"ENSG00000005059",11.9124486160462
"ENSG00000005075",13.5677680540246
"ENSG00000005100",11.4664729395947
"ENSG00000005102",12.2298804201572
"ENSG00000005108",9.16112772890291
"ENSG00000005156",10.7642948250017
"ENSG00000005175",12.2034385337609
"ENSG00000005187",11.5787391718456
"ENSG00000005189",10.8773347629023
"ENSG00000005194",13.4851153459686
"ENSG00000005206",10.9022094315413
"ENSG00000005238",13.190875072297
"ENSG00000005243",13.2978503622192
"ENSG00000005249",15.295700731554
"ENSG00000005302",12.5276997388451
"ENSG00000005339",12.859452058042
"ENSG00000005379",10.0542125249864
"ENSG00000005381",5.6168072126791
