"","C02356"
"ENSG00000000003",11.6221310237748
"ENSG00000000005",8.12796618029005
"ENSG00000000419",13.3871998335289
"ENSG00000000457",11.6221310237748
"ENSG00000000460",8.82267408699455
"ENSG00000000938",10.4851553796652
"ENSG00000000971",14.6146871871792
"ENSG00000001036",13.2858600103001
"ENSG00000001084",13.0686657463524
"ENSG00000001167",11.8076639191554
"ENSG00000001460",9.78071877055317
"ENSG00000001461",12.8628852662209
"ENSG00000001497",12.5483388389476
"ENSG00000001561",13.7408536725323
"ENSG00000001617",10.892187993111
"ENSG00000001626",4.69797833954523
"ENSG00000001629",13.1759614123847
"ENSG00000001631",13.1106657893699
"ENSG00000002016",10.8567282654309
"ENSG00000002330",11.0768752465617
"ENSG00000002549",14.1393087268023
"ENSG00000002587",9.20753343760837
"ENSG00000002726",6.65733635504789
"ENSG00000002822",10.292924928839
"ENSG00000002834",13.6349433831951
"ENSG00000002919",11.5656002920651
"ENSG00000002933",11.7889728717658
"ENSG00000003056",13.9790068028159
"ENSG00000003096",12.3774584390507
"ENSG00000003137",8.96268156573964
"ENSG00000003147",13.1078406676299
"ENSG00000003249",8.09790894643387
"ENSG00000003393",13.9297328640854
"ENSG00000003400",11.4837032456313
"ENSG00000003402",16.670359869314
"ENSG00000003436",12.8927351939675
"ENSG00000003509",13.05014440699
"ENSG00000003756",14.9747489688128
"ENSG00000003987",6.05161529415993
"ENSG00000003989",14.2425135265589
"ENSG00000004059",12.7942542506019
"ENSG00000004139",11.1951648801779
"ENSG00000004142",14.9183566672405
"ENSG00000004399",13.6329796419107
"ENSG00000004455",14.1374629628647
"ENSG00000004468",10.1682982743253
"ENSG00000004478",13.5535389949113
"ENSG00000004487",13.0042932444268
"ENSG00000004534",14.3087981357807
"ENSG00000004660",10.5024679279084
"ENSG00000004700",13.4679997905616
"ENSG00000004766",12.7271121617559
"ENSG00000004776",15.8116481664844
"ENSG00000004777",9.94168126712709
"ENSG00000004779",15.0580938339319
"ENSG00000004799",18.2671614826324
"ENSG00000004809",3.84998143299028
"ENSG00000004838",6.28294084026639
"ENSG00000004864",11.4923942058953
"ENSG00000004866",12.6372310414582
"ENSG00000004897",14.1922783789408
"ENSG00000004961",13.4420646666442
"ENSG00000004975",11.5683430591286
"ENSG00000005007",12.9133765142788
"ENSG00000005020",11.6739854839234
"ENSG00000005022",14.4809765484656
"ENSG00000005059",10.5968316160883
"ENSG00000005075",12.3265251392045
"ENSG00000005100",11.4424384702584
"ENSG00000005102",12.0308851421697
"ENSG00000005108",10.2995428076035
"ENSG00000005156",11.6611955505035
"ENSG00000005175",12.5031847950243
"ENSG00000005187",11.0017590877223
"ENSG00000005189",10.1610485352459
