"","C01914"
"ENSG00000000003",11.1765063849941
"ENSG00000000005",10.1232945788077
"ENSG00000000419",13.2895084655583
"ENSG00000000457",10.8932374954202
"ENSG00000000460",8.75475554162878
"ENSG00000000938",11.3143751942355
"ENSG00000000971",15.201159925116
"ENSG00000001036",13.6479438568915
"ENSG00000001084",12.591041465657
"ENSG00000001167",10.8735416940793
"ENSG00000001460",9.02851635405563
"ENSG00000001461",11.9531089513976
"ENSG00000001497",12.7534091159213
"ENSG00000001561",11.9992791328305
"ENSG00000001617",11.6515623565083
"ENSG00000001626",5.01059444605837
"ENSG00000001629",11.7945748597422
"ENSG00000001631",11.2161433572314
"ENSG00000002016",10.565183297736
"ENSG00000002330",13.1775106976283
"ENSG00000002549",14.019023068129
"ENSG00000002587",8.6194036887339
"ENSG00000002726",6.77612919242135
"ENSG00000002822",10.7275853404633
"ENSG00000002834",13.7158812363308
"ENSG00000002919",12.1170265238753
"ENSG00000002933",13.3951623692322
"ENSG00000003056",12.7207120781018
"ENSG00000003096",11.6573331443662
"ENSG00000003137",7.64286266155788
"ENSG00000003147",13.7899855055943
"ENSG00000003249",8.18051944750069
"ENSG00000003393",12.7853815056595
"ENSG00000003400",10.791954159583
"ENSG00000003402",15.5630714275805
"ENSG00000003436",12.829496121944
"ENSG00000003509",12.7040814035577
"ENSG00000003756",14.8111708354849
"ENSG00000003987",4.27362885189217
"ENSG00000003989",13.7473346015116
"ENSG00000004059",13.8082559719121
"ENSG00000004139",11.4535379419071
"ENSG00000004142",15.3884556695531
"ENSG00000004399",13.6794794303246
"ENSG00000004455",14.8202018198474
"ENSG00000004468",10.2200478116873
"ENSG00000004478",14.2321815673232
"ENSG00000004487",13.2783174976858
"ENSG00000004534",14.9008587230795
"ENSG00000004660",10.3960254832519
"ENSG00000004700",12.6759303632435
"ENSG00000004766",11.8358712761132
"ENSG00000004776",17.9561480167295
"ENSG00000004777",10.3960254832519
"ENSG00000004779",16.2666851661454
"ENSG00000004799",17.2546609102532
"ENSG00000004809",4.27362885189217
"ENSG00000004838",6.9365938646146
"ENSG00000004864",11.4267586107915
"ENSG00000004866",12.6030514833265
"ENSG00000004897",13.4157359091947
