"","P01347"
"ENSG00000000003",11.3494927290494
"ENSG00000000005",2.40991351473469
"ENSG00000000419",13.3039733610087
"ENSG00000000457",11.1412325457598
"ENSG00000000460",8.55966063423938
"ENSG00000000938",11.4893982985615
"ENSG00000000971",13.2435942633894
"ENSG00000001036",13.6429339412092
"ENSG00000001084",12.8414111189927
"ENSG00000001167",10.0023705520028
"ENSG00000001460",9.95680797462233
"ENSG00000001461",12.4056806656125
"ENSG00000001497",12.4419592416655
"ENSG00000001561",12.7508762789864
"ENSG00000001617",11.706829721614
"ENSG00000001626",3.99487601545585
"ENSG00000001629",11.7114097097172
"ENSG00000001631",10.8569967409443
"ENSG00000002016",10.1310127034419
"ENSG00000002330",13.9962842098487
"ENSG00000002549",13.9830872994212
"ENSG00000002587",8.55966063423938
"ENSG00000002726",7.69531573359694
"ENSG00000002822",11.4070929956723
"ENSG00000002834",13.652492204186
"ENSG00000002919",12.6399339504403
"ENSG00000002933",13.7085489214689
"ENSG00000003056",12.7397098529554
"ENSG00000003096",10.7273261284996
"ENSG00000003137",9.00982635692182
"ENSG00000003147",13.8585460824652
"ENSG00000003249",8.74976351761932
"ENSG00000003393",13.1689694538949
"ENSG00000003400",10.6144846589839
"ENSG00000003402",16.0104072221875
"ENSG00000003436",13.2083853158363
"ENSG00000003509",12.3302663701498
"ENSG00000003756",14.6932913040203
"ENSG00000003987",3.99487601545585
"ENSG00000003989",14.110786669875
"ENSG00000004059",14.6141789708715
"ENSG00000004139",10.7542094226505
"ENSG00000004142",15.6228657997716
"ENSG00000004399",13.8177123649567
"ENSG00000004455",15.152012384513
"ENSG00000004468",9.79361780720875
"ENSG00000004478",14.3380617309037
"ENSG00000004487",13.2917922223351
"ENSG00000004534",14.1702176400211
"ENSG00000004660",11.0716916125067
"ENSG00000004700",12.5735631907505
"ENSG00000004766",11.3257928935705
"ENSG00000004776",18.0796013728414
"ENSG00000004777",10.448832504027
"ENSG00000004779",16.5007702524165
"ENSG00000004799",16.8551223972815
"ENSG00000004809",7.26789450986227
"ENSG00000004838",6.31680411034321
"ENSG00000004864",11.395755451738
"ENSG00000004866",12.8785375576527
"ENSG00000004897",13.6619875575309
"ENSG00000004961",13.1904532822067
"ENSG00000004975",12.0946621351563
"ENSG00000005007",12.8967485362977
"ENSG00000005020",9.86112462656702
"ENSG00000005022",15.5784289459223
"ENSG00000005059",10.848705367313
"ENSG00000005075",14.1801644421296
"ENSG00000005100",10.983560702228
"ENSG00000005102",13.9897008442617
"ENSG00000005108",6.65784102817828
"ENSG00000005156",11.0061032708791
"ENSG00000005175",12.3122886292207
"ENSG00000005187",12.4419592416655
"ENSG00000005189",11.0716916125067
"ENSG00000005194",13.8261832592579
"ENSG00000005206",12.7441868000419
"ENSG00000005238",13.5564821904755
"ENSG00000005243",14.3652001602592
"ENSG00000005249",12.900764391475
"ENSG00000005302",12.2220908202491
"ENSG00000005339",12.8927214714614
"ENSG00000005379",11.9548779475239
"ENSG00000005381",7.61936688036364
"ENSG00000005421",5.2172684367923
"ENSG00000005436",12.3568197891911
"ENSG00000005448",9.97215593895577
"ENSG00000005469",10.8734378880059
"ENSG00000005471",10.1847005743359
"ENSG00000005483",12.4308934536389
"ENSG00000005486",13.6248397026771
"ENSG00000005513",9.77623572898051
"ENSG00000005700",13.82301249965
"ENSG00000005801",11.769663075057
"ENSG00000005810",11.8754799195441
"ENSG00000005812",13.0972891981722
"ENSG00000005844",7.69531573359694
"ENSG00000005882",15.3011276206405
"ENSG00000005884",12.6083585561871
"ENSG00000005889",12.5609300536269
"ENSG00000005893",14.1908633134844
"ENSG00000005955",13.6345181962732
"ENSG00000005961",6.31680411034321
"ENSG00000005981",8.6767000554296
"ENSG00000006007",15.232285174698
"ENSG00000006015",13.3310106028415
"ENSG00000006016",13.9868701794408
"ENSG00000006025",10.7979308000798
"ENSG00000006042",11.9740630047204
"ENSG00000006047",7.16480101689816
"ENSG00000006062",11.9077653516858
"ENSG00000006071",9.94129497525101
"ENSG00000006074",10.1978160741261
"ENSG00000006075",6.49737635598503
"ENSG00000006114",11.6218018092807
"ENSG00000006118",10.6242326355355
"ENSG00000006125",15.251281296617
"ENSG00000006128",2.40991351473469
"ENSG00000006194",12.6254465144804
"ENSG00000006210",12.1830527214544
"ENSG00000006282",14.241616613949
"ENSG00000006283",5.57983851617701
"ENSG00000006327",14.0623103762124
"ENSG00000006432",8.8193044508724
"ENSG00000006451",13.1855237954942
"ENSG00000006453",9.62908203519686
"ENSG00000006459",11.5053105375273
"ENSG00000006468",14.3358387797076
"ENSG00000006530",12.1830527214544
"ENSG00000006534",10.392907089429
"ENSG00000006555",3.99487601545585
"ENSG00000006576",12.8455837756712
"ENSG00000006606",8.08233885670619
"ENSG00000006607",11.3785803079299
"ENSG00000006625",13.2164631367207
"ENSG00000006634",9.09641404191791
"ENSG00000006638",9.39859820150686
"ENSG00000006652",13.6784555150348
"ENSG00000006695",13.4467739614077
"ENSG00000006704",11.8171812789794
"ENSG00000006712",13.9934664452012
"ENSG00000006715",13.1937302740549
"ENSG00000006740",10.0609652059136
"ENSG00000006744",13.7767821009018
"ENSG00000006747",5.2172684367923
"ENSG00000006756",12.3213055025782
"ENSG00000006757",13.2180732876031
"ENSG00000006831",13.3324979174484
"ENSG00000006837",9.2043293810848
"ENSG00000007047",12.2220908202491
"ENSG00000007062",10.7273261284996
"ENSG00000007080",14.328404107027
"ENSG00000007129",6.11035323287579
"ENSG00000007168",15.1325076136913
"ENSG00000007171",5.57983851617701
"ENSG00000007202",13.9745393775301
"ENSG00000007237",13.6052857221374
"ENSG00000007255",12.4308934536389
"ENSG00000007264",6.11035323287579
"ENSG00000007312",10.8652407350393
"ENSG00000007314",9.15138050113584
"ENSG00000007341",11.8957428234366
"ENSG00000007350",11.7385884420626
"ENSG00000007376",10.9759675529058
"ENSG00000007384",13.2963722104384
"ENSG00000007392",13.1420809403981
"ENSG00000007402",7.76746551935278
"ENSG00000007516",9.75864166896577
"ENSG00000007520",14.7270434411192
"ENSG00000007541",13.2340767244789
"ENSG00000007545",11.3257928935705
"ENSG00000007866",12.8309263705139
"ENSG00000007908",7.36410982512157
"ENSG00000007923",13.7154053068454
"ENSG00000007933",9.25540356567907
"ENSG00000007944",11.8590621601101
"ENSG00000007968",2.40991351473469
"ENSG00000008018",16.0824493530139
"ENSG00000008056",12.5481853149069
"ENSG00000008083",11.2396362498208
"ENSG00000008086",2.40991351473469
"ENSG00000008128",6.49737635598503
"ENSG00000008130",12.1224405151745
"ENSG00000008226",7.05376970450942
"ENSG00000008256",12.8600937618994
"ENSG00000008277",7.90176661106437
"ENSG00000008282",14.8110596968882
"ENSG00000008283",11.1945483602922
"ENSG00000008294",13.9668984723292
"ENSG00000008300",6.31680411034321
"ENSG00000008311",11.8917129464004
"ENSG00000008324",12.3857614827415
"ENSG00000008382",13.8027675546076
"ENSG00000008394",12.9882862060955
"ENSG00000008405",12.0005005646497
"ENSG00000008441",12.9265984640443
"ENSG00000008513",14.6834177486969
"ENSG00000008516",7.45430763409315
"ENSG00000008517",12.1564278358732
"ENSG00000008710",15.1136008407022
"ENSG00000008735",7.36410982512157
"ENSG00000008838",13.4021437797006
"ENSG00000008853",14.1288744267189
"ENSG00000008869",11.683709113949
"ENSG00000008952",14.1990395611599
"ENSG00000008988",17.532215768145
"ENSG00000009307",17.0301906252802
"ENSG00000009335",13.1077498726971
"ENSG00000009413",11.2710004207301
"ENSG00000009694",6.93347547079171
"ENSG00000009780",12.2348722552632
"ENSG00000009790",8.29255656409654
"ENSG00000009830",12.1631302639136
"ENSG00000009844",13.313042191547
"ENSG00000009950",11.2459638697928
"ENSG00000009954",13.0365351670931
"ENSG00000010017",12.4308934536389
"ENSG00000010030",3.99487601545585
"ENSG00000010072",10.4920625560886
"ENSG00000010165",12.2694483011173
"ENSG00000010219",12.2124298798559
"ENSG00000010244",14.0260028283168
"ENSG00000010256",17.7083699337088
"ENSG00000010270",12.4056806656125
"ENSG00000010278",14.0649969599327
"ENSG00000010282",16.9711417839863
"ENSG00000010292",11.0282990169933
"ENSG00000010295",12.6613959253549
"ENSG00000010310",10.298656763633
"ENSG00000010318",8.59973807361471
"ENSG00000010319",11.3785803079299
"ENSG00000010322",14.3753370805448
"ENSG00000010327",14.6840004203691
"ENSG00000010361",11.838273687439
"ENSG00000010379",10.8896937787638
"ENSG00000010404",13.956325709854
"ENSG00000010539",10.6530874982076
"ENSG00000010610",11.2204851494758
"ENSG00000010626",12.5275566161238
"ENSG00000010671",9.72279647001905
"ENSG00000010704",9.35242802007393
"ENSG00000010803",13.2978956477931
"ENSG00000010810",12.1293023356768
"ENSG00000010818",12.1258755049898
"ENSG00000010932",5.57983851617701
"ENSG00000011007",13.4218395810415
"ENSG00000011009",13.7614049240547
"ENSG00000011021",12.4692579755591
"ENSG00000011028",13.699356090423
"ENSG00000011105",15.655317665665
"ENSG00000011114",11.62665937293
"ENSG00000011132",10.6339151889328
"ENSG00000011143",11.301697217953
"ENSG00000011198",10.7979308000798
"ENSG00000011201",9.92561335301874
"ENSG00000011243",13.7005084028173
"ENSG00000011258",11.4070929956723
"ENSG00000011260",11.6554662209904
"ENSG00000011275",13.2779643684799
