"","C01413"
"ENSG00000000003",11.4005582857689
"ENSG00000000005",5.99890299841078
"ENSG00000000419",13.6538644346408
"ENSG00000000457",11.1504961770808
"ENSG00000000460",9.04726601997217
"ENSG00000000938",10.0863658396611
"ENSG00000000971",14.7942047690202
"ENSG00000001036",13.6021921469385
"ENSG00000001084",13.3444090518254
"ENSG00000001167",11.7992146434643
"ENSG00000001460",9.52815606654564
"ENSG00000001461",12.8557529115197
"ENSG00000001497",12.7031210557893
"ENSG00000001561",13.3920008891777
"ENSG00000001617",10.9014151535087
"ENSG00000001626",5.34682630183108
"ENSG00000001629",12.8074284641763
"ENSG00000001631",13.2250962194998
"ENSG00000002016",11.8726267300841
"ENSG00000002330",10.0551712180575
"ENSG00000002549",14.518539251254
"ENSG00000002587",7.74892474540243
"ENSG00000002726",8.64799583655165
"ENSG00000002822",10.0551712180575
"ENSG00000002834",13.6302454344142
"ENSG00000002919",11.7317641942442
"ENSG00000002933",12.432772910634
"ENSG00000003056",14.3030987315011
"ENSG00000003096",12.080567995123
"ENSG00000003137",8.42211442913532
"ENSG00000003147",13.4365605080862
"ENSG00000003249",7.58386549913193
"ENSG00000003393",14.0075862661516
"ENSG00000003400",12.080567995123
"ENSG00000003402",16.9835156505996
"ENSG00000003436",13.1328625025652
"ENSG00000003509",13.3778874555708
"ENSG00000003756",15.1853549342925
"ENSG00000003987",5.70939638121579
"ENSG00000003989",13.7286782143705
"ENSG00000004059",12.6622993745811
"ENSG00000004139",11.3306342683285
"ENSG00000004142",15.4521736324214
"ENSG00000004399",13.6222857174458
"ENSG00000004455",14.3351052242803
"ENSG00000004468",9.79685922246613
"ENSG00000004478",13.5345318468062
"ENSG00000004487",13.3460210017594
"ENSG00000004534",14.8862621015242
"ENSG00000004660",9.77787611909856
"ENSG00000004700",13.0242942740356
"ENSG00000004766",12.5181818388798
"ENSG00000004776",15.6737372490082
"ENSG00000004777",9.57289438131093
"ENSG00000004779",15.5229994509386
"ENSG00000004799",18.0458099569107
"ENSG00000004809",2.53947137977348
"ENSG00000004838",5.70939638121579
"ENSG00000004864",11.6506070500082
"ENSG00000004866",13.1842289722897
"ENSG00000004897",13.9172241747957
"ENSG00000004961",13.8709482016331
"ENSG00000004975",11.726823452974
"ENSG00000005007",12.7766813405285
"ENSG00000005020",11.0825032000287
"ENSG00000005022",14.7965645242645
"ENSG00000005059",10.4878386113582
"ENSG00000005075",12.4448583847916
"ENSG00000005100",11.996852258846
"ENSG00000005102",11.7897697976798
"ENSG00000005108",9.48198588511272
"ENSG00000005156",12.2519983802133
"ENSG00000005175",12.5715171067043
"ENSG00000005187",10.1905230709524
"ENSG00000005189",10.2189514792789
"ENSG00000005194",13.5708279760292
"ENSG00000005206",11.0825032000287
"ENSG00000005238",12.241644065139
"ENSG00000005243",12.5906803206882
"ENSG00000005249",13.2127804553352
"ENSG00000005302",12.2101276288919
"ENSG00000005339",13.202139755291
"ENSG00000005379",12.3257410074219
"ENSG00000005381",5.70939638121579
"ENSG00000005421",4.12443388049463
"ENSG00000005436",12.3290050247438
"ENSG00000005448",9.10932698810443
"ENSG00000005469",11.8132669789877
"ENSG00000005471",11.3175485093088
"ENSG00000005483",13.8403958707498
"ENSG00000005486",11.6866763047157
"ENSG00000005513",9.07863019088151
"ENSG00000005700",14.348033409731
"ENSG00000005801",11.9927420137841
"ENSG00000005810",13.5415831562533
"ENSG00000005812",13.9063399659406
"ENSG00000005844",9.07863019088151
"ENSG00000005882",14.5320557237793
"ENSG00000005884",11.8039139800001
"ENSG00000005889",13.2716388054369
"ENSG00000005893",14.3113734604712
"ENSG00000005955",13.9860377888395
"ENSG00000005961",5.34682630183108
"ENSG00000005981",7.29435888193695
"ENSG00000006007",14.836100854059
"ENSG00000006015",10.1319284170416
"ENSG00000006016",9.637503462734
"ENSG00000006025",10.8294902267061
"ENSG00000006042",12.115010626608
"ENSG00000006047",6.446361975382
"ENSG00000006062",11.817920837994
"ENSG00000006071",9.73914372460984
"ENSG00000006074",10.9530993087977
"ENSG00000006075",5.99890299841078
"ENSG00000006114",12.6648848502568
"ENSG00000006118",9.10932698810443
"ENSG00000006125",15.5126305943632
"ENSG00000006128",4.12443388049463
"ENSG00000006194",12.0333268290143
"ENSG00000006210",12.3191907349169
"ENSG00000006282",13.7422074230236
"ENSG00000006283",5.70939638121579
"ENSG00000006327",11.4965734213358
"ENSG00000006432",8.76829007026936
"ENSG00000006451",13.0502355476914
"ENSG00000006453",10.8015662251437
"ENSG00000006459",12.6176221875081
"ENSG00000006468",13.8529213207365
"ENSG00000006530",13.5804459785908
"ENSG00000006534",9.95732389465937
"ENSG00000006555",5.99890299841078
"ENSG00000006576",12.9090687260522
"ENSG00000006606",4.12443388049463
"ENSG00000006607",11.9552131480636
"ENSG00000006625",12.0172296462174
"ENSG00000006634",9.69934271655187
"ENSG00000006638",8.15418122388868
"ENSG00000006652",13.6512591155745
"ENSG00000006695",13.8381067865077
"ENSG00000006704",11.7168909177627
"ENSG00000006712",12.9264116250978
"ENSG00000006715",13.491484544663
"ENSG00000006740",11.0029957530447
"ENSG00000006744",13.9808594091202
"ENSG00000006747",5.34682630183108
"ENSG00000006756",12.0293193402128
"ENSG00000006757",13.0815359220569
"ENSG00000006831",14.4452344293763
"ENSG00000006837",7.66875439671844
"ENSG00000007047",11.3436024009568
"ENSG00000007062",11.0825032000287
"ENSG00000007080",10.7342282341957
"ENSG00000007129",6.23991109791457
"ENSG00000007168",15.7368416736333
"ENSG00000007171",4.12443388049463
"ENSG00000007202",14.7388369966315
"ENSG00000007237",14.9485970902388
"ENSG00000007255",8.56183919280193
"ENSG00000007264",5.34682630183108
"ENSG00000007312",9.55069863519673
"ENSG00000007314",8.37236139393822
"ENSG00000007341",11.8815460477726
"ENSG00000007350",12.1036208697592
"ENSG00000007376",8.09406023145111
"ENSG00000007384",12.241644065139
"ENSG00000007392",13.4410925381196
"ENSG00000007402",10.6635926916027
"ENSG00000007516",8.76829007026936
"ENSG00000007520",11.0591076326167
"ENSG00000007541",10.1615231992299
"ENSG00000007545",11.6866763047157
"ENSG00000007866",12.6309067660971
"ENSG00000007908",7.74892474540243
"ENSG00000007923",14.1192587093005
"ENSG00000007933",9.16882799985309
"ENSG00000007944",12.9328618372175
"ENSG00000007968",4.86139947466084
"ENSG00000008018",14.7227966042981
"ENSG00000008056",10.0551712180575
"ENSG00000008083",12.0413085646758
"ENSG00000008086",6.93178880255224
"ENSG00000008128",7.06303333583049
"ENSG00000008130",12.1923163527755
"ENSG00000008226",7.49366769016035
"ENSG00000008256",13.518896575105
"ENSG00000008277",10.4878386113582
"ENSG00000008282",14.9272194804848
"ENSG00000008283",10.9446128429098
"ENSG00000008294",14.3544543162003
"ENSG00000008300",6.93178880255224
"ENSG00000008311",12.9646872830729
"ENSG00000008324",10.5783903690658
"ENSG00000008382",10.476109318776
"ENSG00000008394",10.3912204211895
"ENSG00000008405",12.5210386616765
"ENSG00000008441",12.6930234114816
"ENSG00000008513",15.5843777288696
"ENSG00000008516",8.80625792046838
"ENSG00000008517",11.5023673851107
"ENSG00000008710",12.7403699848119
"ENSG00000008735",5.99890299841078
"ENSG00000008838",13.3232881390937
"ENSG00000008853",13.2320868814681
"ENSG00000008869",13.4044312949161
"ENSG00000008952",14.3986178751994
"ENSG00000008988",15.7881402194966
"ENSG00000009307",17.6261466897737
"ENSG00000009335",14.3342933531047
"ENSG00000009413",13.0442903674063
"ENSG00000009694",8.37236139393822
"ENSG00000009780",11.7706925604847
"ENSG00000009790",8.37236139393822
"ENSG00000009830",12.1225541472764
"ENSG00000009844",13.5373565076026
"ENSG00000009950",5.70939638121579
"ENSG00000009954",14.1249034313664
"ENSG00000010017",13.5804459785908
"ENSG00000010030",4.12443388049463
"ENSG00000010072",10.9360761609553
"ENSG00000010165",12.0998042139859
"ENSG00000010219",11.602866461062
"ENSG00000010244",14.4071362281542
"ENSG00000010256",16.8269673388349
"ENSG00000010270",12.8625261401151
"ENSG00000010278",14.229032634059
"ENSG00000010282",16.4307804341831
"ENSG00000010292",11.9424834033485
"ENSG00000010295",12.0293193402128
"ENSG00000010310",8.47020871733636
"ENSG00000010318",10.9014151535087
"ENSG00000010319",12.4627988651927
"ENSG00000010322",13.7348435871762
"ENSG00000010327",13.6834922490404
"ENSG00000010361",10.3532525709905
"ENSG00000010379",10.4642838833793
"ENSG00000010404",15.1525701739827
"ENSG00000010539",11.0978920930421
"ENSG00000010610",11.9253337804149
"ENSG00000010626",10.8478104099129
"ENSG00000010671",10.2605705684807
"ENSG00000010704",10.6635926916027
"ENSG00000010803",13.5872769337811
"ENSG00000010810",13.0718273050623
"ENSG00000010818",13.0060577174927
"ENSG00000010932",6.446361975382
"ENSG00000011007",13.5373565076026
"ENSG00000011009",11.5865952918875
"ENSG00000011021",12.9242551298668
"ENSG00000011028",12.282622773886
"ENSG00000011105",15.478866939955
"ENSG00000011114",12.6545150299352
"ENSG00000011132",9.81559578504772
"ENSG00000011143",11.277563639394
"ENSG00000011198",12.115010626608
"ENSG00000011201",11.8636519263922
"ENSG00000011243",13.2163099862476
"ENSG00000011258",12.3224695886939
"ENSG00000011260",11.3564550030289
"ENSG00000011275",13.1532608442461
"ENSG00000011295",13.6447251594744
"ENSG00000011304",12.8512196947784
"ENSG00000011332",5.34682630183108
"ENSG00000011347",12.1815230727015
"ENSG00000011376",13.1788120884257
"ENSG00000011405",13.4590796183767
"ENSG00000011422",8.76829007026936
"ENSG00000011426",7.29435888193695
"ENSG00000011451",11.4129154922889
"ENSG00000011454",14.1050495165578
"ENSG00000011465",17.9186127983033
"ENSG00000011478",8.8793213826581
"ENSG00000011485",13.5818147595672
"ENSG00000011523",13.4365605080862
"ENSG00000011566",14.0288176204926
"ENSG00000011600",10.9446128429098
"ENSG00000011638",14.0974136665609
"ENSG00000012048",11.0353264066606
"ENSG00000012061",13.3920008891777
"ENSG00000012124",7.66875439671844
"ENSG00000012171",11.4493644635435
"ENSG00000012174",12.3516486852879
"ENSG00000012211",9.85235433505783
"ENSG00000012223",10.3786751678704
"ENSG00000012232",14.161065418791
"ENSG00000012660",13.6062333121604
"ENSG00000012779",10.4642838833793
"ENSG00000012817",4.12443388049463
"ENSG00000012822",15.4053979247954
"ENSG00000012963",13.1660930321318
"ENSG00000012983",12.6202889073818
"ENSG00000013016",13.4943946718038
"ENSG00000013275",13.5611454226318
"ENSG00000013288",12.7742888108908
"ENSG00000013297",9.85235433505783
"ENSG00000013306",12.4508633676169
"ENSG00000013364",12.3026837465879
"ENSG00000013374",13.6771029780089
"ENSG00000013375",12.6440701333378
"ENSG00000013392",11.2433749532181
"ENSG00000013441",15.341785785765
"ENSG00000013503",11.6558153410109
"ENSG00000013523",12.6202889073818
"ENSG00000013561",14.4947580252979
"ENSG00000013563",13.1569388450677
"ENSG00000013573",10.9446128429098
"ENSG00000013583",13.0080954226915
"ENSG00000013588",8.21189672174497
"ENSG00000013619",10.4159883263385
"ENSG00000013725",5.34682630183108
"ENSG00000013810",9.2537168974396
"ENSG00000014123",13.7604542308553
"ENSG00000014138",10.1615231992299
"ENSG00000014164",9.07863019088151
"ENSG00000014216",12.8534880836748
"ENSG00000014257",6.446361975382
"ENSG00000014641",18.1880817483459
"ENSG00000014824",14.940617561927
"ENSG00000014914",10.8202421499041
"ENSG00000014919",13.5967862575562
"ENSG00000015133",9.81559578504772
"ENSG00000015153",13.8277607219544
"ENSG00000015171",14.9654739931028
"ENSG00000015285",8.8793213826581
"ENSG00000015475",10.4642838833793
"ENSG00000015479",16.116309979498
"ENSG00000015520",5.99890299841078
"ENSG00000015532",10.589319929224
"ENSG00000015568",4.12443388049463
"ENSG00000015676",14.1738286809115
"ENSG00000016391",10.3532525709905
"ENSG00000016402",9.50525566443556
"ENSG00000016864",13.200358650076
"ENSG00000017260",14.3767050801126
"ENSG00000017373",7.74892474540243
"ENSG00000017427",11.0902181651567
"ENSG00000017483",7.89702338439156
"ENSG00000017621",7.58386549913193
"ENSG00000017797",13.2233432483961
"ENSG00000018189",12.783835214894
"ENSG00000018236",6.446361975382
"ENSG00000018280",9.19768286252527
"ENSG00000018408",14.1900744019888
"ENSG00000018510",13.1914199904969
"ENSG00000018610",11.8546209420298
"ENSG00000018625",16.6178724019977
"ENSG00000018699",11.8271837593229
"ENSG00000018869",9.83409212866511
"ENSG00000019102",9.69934271655187
"ENSG00000019144",14.8801560341369
"ENSG00000019169",9.38496143071785
"ENSG00000019485",10.3142584393747
"ENSG00000019505",10.1169002078092
"ENSG00000019549",10.7730910565332
"ENSG00000019582",15.4821691426602
"ENSG00000019991",10.5338248166323
"ENSG00000019995",14.0645027248975
"ENSG00000020129",11.564610942052
"ENSG00000020181",12.4144527274273
"ENSG00000020256",10.55627966746
"ENSG00000020426",11.6295837994378
"ENSG00000020577",15.5244238075058
"ENSG00000020633",7.49366769016035
"ENSG00000020922",10.3403712796938
"ENSG00000021300",11.0825032000287
"ENSG00000021355",12.819081960826
"ENSG00000021461",5.34682630183108
"ENSG00000021488",5.99890299841078
"ENSG00000021574",11.5920394305776
"ENSG00000021645",8.94886231591118
"ENSG00000021762",10.6635926916027
"ENSG00000021776",12.1994672722035
"ENSG00000021826",9.92317567224753
"ENSG00000022267",18.1145082903162
"ENSG00000022277",13.8731858058674
"ENSG00000022556",5.34682630183108
"ENSG00000022567",11.513885969579
"ENSG00000022840",15.790509906987
"ENSG00000022976",11.324106225331
"ENSG00000023041",12.8557529115197
"ENSG00000023171",14.2972780519707
"ENSG00000023191",12.7452646291706
"ENSG00000023228",17.7126409853768
"ENSG00000023287",14.1537211074629
"ENSG00000023318",13.4709476136603
"ENSG00000023330",15.3243106744266
"ENSG00000023445",11.1430977247597
"ENSG00000023516",13.6499546895897
"ENSG00000023572",11.5534918500884
"ENSG00000023608",10.9530993087977
"ENSG00000023697",12.2381760465438
"ENSG00000023734",14.7388369966315
"ENSG00000023839",6.78739889321706
"ENSG00000023892",8.5167513032734
"ENSG00000023902",12.6256076048008
"ENSG00000023909",11.8636519263922
"ENSG00000024048",13.9237155020166
"ENSG00000024422",13.3857452911234
