"","P01164"
"ENSG00000000003",10.8521972712139
"ENSG00000000005",7.93987278955473
"ENSG00000000419",13.1434285688783
"ENSG00000000457",11.5760869899996
"ENSG00000000460",9.28876793204236
"ENSG00000000938",12.6683067500998
"ENSG00000000971",14.865469214413
"ENSG00000001036",12.9941315288227
"ENSG00000001084",13.1419503976006
"ENSG00000001167",12.0305345124724
"ENSG00000001460",10.0128522349118
"ENSG00000001461",12.4705183688815
"ENSG00000001497",12.1052538658521
"ENSG00000001561",13.1683284922412
"ENSG00000001617",12.0714871213742
"ENSG00000001626",2.21195233499153
"ENSG00000001629",13.4011591695886
"ENSG00000001631",12.8852614105532
"ENSG00000002016",11.1515315493062
"ENSG00000002330",12.3831291326433
"ENSG00000002549",15.1480381166712
"ENSG00000002587",9.22317959041478
"ENSG00000002726",6.11884293060005
"ENSG00000002822",10.8303378372501
"ENSG00000002834",14.1482221925937
"ENSG00000002919",11.1690543765538
"ENSG00000002933",12.4586929334847
"ENSG00000003056",14.1715920993557
"ENSG00000003096",11.9279143252467
"ENSG00000003137",9.35150368739032
"ENSG00000003147",12.9236193085559
"ENSG00000003249",9.71179822207474
"ENSG00000003393",13.7093052284686
"ENSG00000003400",12.2189796018855
"ENSG00000003402",16.1966378029623
"ENSG00000003436",12.754016877275
"ENSG00000003509",12.6538590395338
"ENSG00000003756",14.7753869707017
"ENSG00000003987",5.91239205313262
"ENSG00000003989",13.6616168734677
"ENSG00000004059",13.0392950392256
"ENSG00000004139",11.5361328816103
"ENSG00000004142",14.4666857242382
"ENSG00000004399",14.6468411415219
"ENSG00000004455",13.9705919720161
"ENSG00000004468",11.8755104392088
"ENSG00000004478",13.1300701860233
"ENSG00000004487",12.84585574434
"ENSG00000004534",14.9603548633897
"ENSG00000004660",11.2034741810672
"ENSG00000004700",13.7765781977869
"ENSG00000004766",12.3931045918571
"ENSG00000004776",17.267700791477
"ENSG00000004777",11.3020647546558
"ENSG00000004779",14.3746583534739
"ENSG00000004799",17.1890086091133
"ENSG00000004809",5.01930725704913
"ENSG00000004838",7.49735455385378
"ENSG00000004864",11.4950406880155
"ENSG00000004866",12.0714871213742
"ENSG00000004897",13.8883502220363
"ENSG00000004961",13.0784585472177
"ENSG00000004975",11.7874915818261
"ENSG00000005007",13.4485645352073
"ENSG00000005020",12.2105427647369
"ENSG00000005022",14.2655388786307
"ENSG00000005059",11.4857479342058
"ENSG00000005075",12.5439888833532
"ENSG00000005100",11.4857479342058
"ENSG00000005102",13.1798990408042
"ENSG00000005108",10.2618008844421
"ENSG00000005156",11.5891628653801
"ENSG00000005175",12.2217809523596
"ENSG00000005187",10.5650991604896
"ENSG00000005189",10.0761384796458
"ENSG00000005194",12.4961980848212
"ENSG00000005206",12.7187557727872
"ENSG00000005238",12.9542617710755
"ENSG00000005243",11.7684583896635
"ENSG00000005249",13.3812510307844
"ENSG00000005302",12.6785386727108
"ENSG00000005339",13.4851651448459
"ENSG00000005379",12.1500616612108
"ENSG00000005381",7.3412353519365
"ENSG00000005421",3.79691483571269
"ENSG00000005436",11.8285011787705
"ENSG00000005448",9.26723477049272
"ENSG00000005469",11.3126146739967
"ENSG00000005471",10.5913307020628
"ENSG00000005483",13.8625553572068
"ENSG00000005486",12.2077194858693
"ENSG00000005513",10.0761384796458
"ENSG00000005700",14.0903864845508
"ENSG00000005801",11.8931907467693
"ENSG00000005810",14.0601840360853
"ENSG00000005812",13.6376927593077
"ENSG00000005844",13.6366435265045
"ENSG00000005882",13.7222220058897
"ENSG00000005884",12.2927698625999
"ENSG00000005889",12.6160294712328
"ENSG00000005893",14.1831366073962
"ENSG00000005955",13.4353507497032
"ENSG00000005961",6.45987984843511
"ENSG00000005981",9.56068048922261
"ENSG00000006007",14.1752096916246
"ENSG00000006015",12.2604392089839
"ENSG00000006016",9.46934017768418
"ENSG00000006025",11.5361328816103
"ENSG00000006042",11.2203809570621
"ENSG00000006047",8.3204767917697
"ENSG00000006062",12.4226236787771
"ENSG00000006071",9.2006370217637
"ENSG00000006074",11.5406272623195
"ENSG00000006075",10.1485902739941
"ENSG00000006114",12.9908508109999
"ENSG00000006118",10.5019711819241
"ENSG00000006125",14.8410812390197
"ENSG00000006128",3.79691483571269
"ENSG00000006194",12.1820582256037
"ENSG00000006210",13.3986856241204
"ENSG00000006282",13.5512456351716
"ENSG00000006283",7.49735455385378
"ENSG00000006327",13.4933028499726
"ENSG00000006432",9.48807674026577
"ENSG00000006451",12.8674830581472
"ENSG00000006453",10.3360736468207
"ENSG00000006459",13.3080085741725
"ENSG00000006468",13.9145579371018
"ENSG00000006530",12.7286372843011
"ENSG00000006534",10.7237049887589
"ENSG00000006555",7.49735455385378
"ENSG00000006576",13.4839988593815
"ENSG00000006606",5.67138395362883
"ENSG00000006607",12.2494992889537
"ENSG00000006625",11.7452820672974
"ENSG00000006634",9.84857695553518
"ENSG00000006638",9.26723477049272
"ENSG00000006652",13.1060121812656
"ENSG00000006695",12.7997298513197
"ENSG00000006704",11.1690543765538
"ENSG00000006712",12.9132587969502
