"","C02029"
"ENSG00000000003",11.4528505747874
"ENSG00000000005",8.94488547378141
"ENSG00000000419",13.6928618487601
"ENSG00000000457",10.8361792143389
"ENSG00000000460",9.03508328275299
"ENSG00000000938",9.98315549070912
"ENSG00000000971",13.7953580019339
"ENSG00000001036",13.55864523881
"ENSG00000001084",12.8579679031042
"ENSG00000001167",10.7321561497957
"ENSG00000001460",9.75445481690445
"ENSG00000001461",12.5769034603251
"ENSG00000001497",12.3844371217797
"ENSG00000001561",12.7533480312415
"ENSG00000001617",11.0675047604454
"ENSG00000001626",4.72765475756074
"ENSG00000001629",11.9774793061769
"ENSG00000001631",11.6029433557834
"ENSG00000002016",10.1268258513806
"ENSG00000002330",13.4778592668406
"ENSG00000002549",14.3478745830682
"ENSG00000002587",8.91352130287207
"ENSG00000002726",7.83199141737547
"ENSG00000002822",11.1438189222939
"ENSG00000002834",13.4951771437893
"ENSG00000002919",12.0549828401907
"ENSG00000002933",12.7152030165145
"ENSG00000003056",13.0719506654766
"ENSG00000003096",11.6512793689291
"ENSG00000003137",8.02043650678858
"ENSG00000003147",14.0491319397891
"ENSG00000003249",9.75445481690445
"ENSG00000003393",13.1327962206971
"ENSG00000003400",11.1370456936984
"ENSG00000003402",15.6316871899095
"ENSG00000003436",12.9283081939282
"ENSG00000003509",13.0047096337095
"ENSG00000003756",14.557060381965
"ENSG00000003987",3.99068916339453
"ENSG00000003989",13.247291010404
"ENSG00000004059",13.7383227204626
"ENSG00000004139",11.55801150498
"ENSG00000004142",15.6268606050305
"ENSG00000004399",13.4711427973499
"ENSG00000004455",14.9270817252316
"ENSG00000004468",9.03508328275299
"ENSG00000004478",14.3309101821076
"ENSG00000004487",13.3445711201395
"ENSG00000004534",14.4599918022991
"ENSG00000004660",11.402906143611
"ENSG00000004700",12.9991177854651
"ENSG00000004766",11.911538216593
"ENSG00000004776",17.8642294011084
"ENSG00000004777",10.1130857947543
"ENSG00000004779",16.5650461639604
"ENSG00000004799",17.2748867068909
"ENSG00000004809",3.99068916339453
"ENSG00000004838",6.10616638081447
"ENSG00000004864",10.6297283368715
"ENSG00000004866",12.5439984628456
"ENSG00000004897",13.5837689915382
