"","P01067"
"ENSG00000000003",11.5438488621876
"ENSG00000000005",3.7004511902045
"ENSG00000000419",13.0499167301101
"ENSG00000000457",11.4215503789117
"ENSG00000000460",10.405507536416
"ENSG00000000938",12.907465510382
"ENSG00000000971",14.6446751947342
"ENSG00000001036",13.3316282459085
"ENSG00000001084",12.8476561151467
"ENSG00000001167",12.1748331503078
"ENSG00000001460",10.2499150097043
"ENSG00000001461",12.7329561547775
"ENSG00000001497",12.3834457738862
"ENSG00000001561",13.8865654297461
"ENSG00000001617",11.9372626714539
"ENSG00000001626",7.47304069410143
"ENSG00000001629",13.1916362175059
"ENSG00000001631",12.9171970483998
"ENSG00000002016",11.0313680683191
"ENSG00000002330",10.7557336257057
"ENSG00000002549",14.9937312333526
"ENSG00000002587",9.372876532176
"ENSG00000002726",2.11548868948335
"ENSG00000002822",10.1653372389339
"ENSG00000002834",14.556617311288
"ENSG00000002919",12.4872653338213
"ENSG00000002933",12.4981127160583
"ENSG00000003056",14.5016206267983
"ENSG00000003096",10.3869517173877
"ENSG00000003137",7.78791403145484
"ENSG00000003147",13.4164131804596
"ENSG00000003249",8.22401314626152
"ENSG00000003393",13.4801705453479
"ENSG00000003400",12.4872653338213
"ENSG00000003402",16.1689903861768
"ENSG00000003436",14.5080744457588
"ENSG00000003509",12.6824940597304
"ENSG00000003756",14.7586684574089
"ENSG00000003987",5.81592840762444
"ENSG00000003989",13.8782859519816
"ENSG00000004059",13.086313590846
"ENSG00000004139",11.0011850628227
"ENSG00000004142",15.1783780647291
"ENSG00000004399",14.2718878343549
"ENSG00000004455",14.9929645560178
"ENSG00000004468",11.361041395739
"ENSG00000004478",14.2425157324879
"ENSG00000004487",13.3991558569748
"ENSG00000004534",14.6461388692334
"ENSG00000004660",10.8737119042101
"ENSG00000004700",13.9723032419864
"ENSG00000004766",12.6439428002481
"ENSG00000004776",15.5494652638993
"ENSG00000004777",8.68534429781429
"ENSG00000004779",14.5341319388592
"ENSG00000004799",17.6379782717441
"ENSG00000004809",7.67007754116098
"ENSG00000004838",5.81592840762444
"ENSG00000004864",12.5490741306338
"ENSG00000004866",12.5067322789108
"ENSG00000004897",14.1785466531068
"ENSG00000004961",13.0616639302069
"ENSG00000004975",11.3705172593021
"ENSG00000005007",12.4135512572024
"ENSG00000005020",12.6400304045192
"ENSG00000005022",15.3600011870844
"ENSG00000005059",12.4020464510913
"ENSG00000005075",12.4697380714286
"ENSG00000005100",12.2148364998865
"ENSG00000005102",11.9812219603351
"ENSG00000005108",10.7914457224251
"ENSG00000005156",12.0740414049144
"ENSG00000005175",12.3950992705358
"ENSG00000005187",9.91638858940365
"ENSG00000005189",10.1098421263422
"ENSG00000005194",13.5947637197336
"ENSG00000005206",10.5708159097879
"ENSG00000005238",13.1482232180701
"ENSG00000005243",12.1882912240276
"ENSG00000005249",13.1929720463429
"ENSG00000005302",13.0747661952038
"ENSG00000005339",12.6594871396179
"ENSG00000005379",8.93566765189853
"ENSG00000005381",7.47304069410143
"ENSG00000005421",5.57492030812064
"ENSG00000005436",12.0447470981203
"ENSG00000005448",10.0042319383816
"ENSG00000005469",11.6133405264345
"ENSG00000005471",9.1489116910208
"ENSG00000005483",13.4164131804596
"ENSG00000005486",11.9308719852969
"ENSG00000005513",8.34430737997923
"ENSG00000005700",14.244449640339
"ENSG00000005801",12.3358670171786
"ENSG00000005810",13.73433299125
"ENSG00000005812",13.7777119948012
"ENSG00000005844",10.0403011930891
"ENSG00000005882",13.6267471849856
"ENSG00000005884",13.8674511029442
"ENSG00000005889",12.5024289348077
"ENSG00000005893",14.7721370012307
"ENSG00000005955",13.8531585526608
"ENSG00000005961",7.1598828088418
"ENSG00000005981",7.60734178581302
"ENSG00000006007",14.1839311055092
"ENSG00000006015",9.87703992192783
"ENSG00000006016",11.055067903798
"ENSG00000006025",10.0984822641777
"ENSG00000006042",12.0238813102571
"ENSG00000006047",6.50780611226211
"ENSG00000006062",11.7430225739561
"ENSG00000006071",8.22401314626152
"ENSG00000006074",11.3370758107482
"ENSG00000006075",7.94837870364809
"ENSG00000006114",12.4135512572024
"ENSG00000006118",10.4329013032482
"ENSG00000006125",15.3894299492602
"ENSG00000006128",5.28541369092566
"ENSG00000006194",12.2148364998865
"ENSG00000006210",12.9648937904311
"ENSG00000006282",13.1741569398239
"ENSG00000006283",4.92284361154095
"ENSG00000006327",13.6638289771595
"ENSG00000006432",9.23442976220685
"ENSG00000006451",13.6395406082012
"ENSG00000006453",10.6272413432507
"ENSG00000006459",12.7781570650009
"ENSG00000006468",14.4382618659379
"ENSG00000006530",13.0499167301101
"ENSG00000006534",10.9950719390961
"ENSG00000006555",2.11548868948335
"ENSG00000006576",13.3544904472489
"ENSG00000006606",6.97346968461092
"ENSG00000006607",12.1963062170917
"ENSG00000006625",12.7958482129971
"ENSG00000006634",10.6815427276544
"ENSG00000006638",8.65464750059138
"ENSG00000006652",13.6801145522787
"ENSG00000006695",12.9460038964602
"ENSG00000006704",11.3705172593021
"ENSG00000006712",12.6536776215358
"ENSG00000006715",13.5179678616983
"ENSG00000006740",11.2213971980545
"ENSG00000006744",13.9645027631782
"ENSG00000006747",6.63905064554036
"ENSG00000006756",11.8107169809791
"ENSG00000006757",11.9562666130784
"ENSG00000006831",14.1717877040337
"ENSG00000006837",6.97346968461092
"ENSG00000007047",11.3467098701945
"ENSG00000007062",10.2396100013125
"ENSG00000007080",11.2108857122759
"ENSG00000007129",7.06968499987022
"ENSG00000007168",15.474002536633
"ENSG00000007171",8.90990455583345
"ENSG00000007202",14.7418821936573
"ENSG00000007237",14.1388965326236
"ENSG00000007255",9.1267159449066
"ENSG00000007264",5.81592840762444
"ENSG00000007312",10.5542805420616
"ENSG00000007314",6.20295153073369
"ENSG00000007341",11.6758215236958
"ENSG00000007350",9.1267159449066
"ENSG00000007376",9.17077112498454
"ENSG00000007384",11.9843112442583
"ENSG00000007392",12.7566372868946
"ENSG00000007402",7.3249420551123
"ENSG00000007516",7.67007754116098
"ENSG00000007520",11.6834447648988
"ENSG00000007541",10.3003640323916
"ENSG00000007545",11.1350794178412
"ENSG00000007866",12.7384556342739
"ENSG00000007908",9.94203717677426
"ENSG00000007923",13.2049391705993
"ENSG00000007933",10.8262951231827
"ENSG00000007944",10.9452114245694
"ENSG00000007968",8.45533869236797
"ENSG00000008018",15.0161668482267
"ENSG00000008056",9.83658787819053
"ENSG00000008083",11.9147703110053
"ENSG00000008086",8.62328332968204
"ENSG00000008128",7.24477170642831
"ENSG00000008130",12.4586744049312
"ENSG00000008226",6.50780611226211
"ENSG00000008256",13.4141240962176
"ENSG00000008277",9.91638858940365
"ENSG00000008282",14.7308884332088
"ENSG00000008283",12.2639652716616
"ENSG00000008294",14.7414257890218
"ENSG00000008300",6.36341620292693
"ENSG00000008311",12.3974187164388
"ENSG00000008324",11.5851305067229
"ENSG00000008382",10.4948670565546
"ENSG00000008394",13.6434543306173
"ENSG00000008405",12.5594682320846
"ENSG00000008441",11.9812219603351
"ENSG00000008513",15.3747906045629
"ENSG00000008516",10.0403011930891
"ENSG00000008517",13.0321146116946
"ENSG00000008710",12.4181276132709
"ENSG00000008735",3.7004511902045
"ENSG00000008838",13.0231304931489
"ENSG00000008853",13.1523491361564
"ENSG00000008869",12.8425582475071
"ENSG00000008952",14.591475380354
"ENSG00000008988",16.2970292164056
"ENSG00000009307",17.3275670398914
"ENSG00000009335",14.2781947079658
"ENSG00000009413",13.1190066015919
"ENSG00000009694",7.89684840300801
"ENSG00000009780",11.3028407626838
"ENSG00000009790",9.5993044667476
"ENSG00000009830",12.4608939362011
"ENSG00000009844",13.7443898415115
"ENSG00000009950",7.73019853359855
"ENSG00000009954",13.9103106628146
"ENSG00000010017",13.2324823670303
"ENSG00000010030",3.7004511902045
"ENSG00000010072",11.2879161981288
"ENSG00000010165",12.7923272959575
"ENSG00000010219",11.8753768727052
"ENSG00000010244",14.7290479672716
"ENSG00000010256",15.9846005257567
"ENSG00000010270",13.2154939139061
"ENSG00000010278",14.0000408234706
"ENSG00000010282",14.5016206267983
"ENSG00000010292",12.5942583089591
"ENSG00000010295",12.1775348272038
"ENSG00000010310",9.6929175175191
"ENSG00000010318",10.0283780257133
"ENSG00000010319",11.7393701794968
"ENSG00000010322",13.3425028831325
"ENSG00000010327",14.9643072098006
"ENSG00000010361",9.86368153907281
"ENSG00000010379",7.3249420551123
"ENSG00000010404",14.0801905469038
"ENSG00000010539",11.0491793444356
"ENSG00000010610",12.7799359740313
"ENSG00000010626",11.1516623020368
"ENSG00000010671",11.6985714569863
"ENSG00000010704",10.8400025426033
"ENSG00000010803",13.5083427293562
"ENSG00000010810",13.1835951653421
"ENSG00000010818",12.5800344398173
"ENSG00000010932",9.67773111370442
"ENSG00000011007",13.879116041211
"ENSG00000011009",12.1253173068515
"ENSG00000011021",12.3693361744707
"ENSG00000011028",12.9586246005947
"ENSG00000011105",14.0384446813918
"ENSG00000011114",12.6633471955418
"ENSG00000011132",9.67773111370442
"ENSG00000011143",10.6966892714083
"ENSG00000011198",13.1316005277039
"ENSG00000011201",10.673909402752
"ENSG00000011243",12.6710364611304
"ENSG00000011258",11.9966026501584
"ENSG00000011260",12.5490741306338
"ENSG00000011275",12.5779909620806
"ENSG00000011295",13.3412986301069
"ENSG00000011304",13.7857023262219
"ENSG00000011332",5.57492030812064
